Promoter_1_gene_id	Promoter_1_Type	Cell_line_interaction	Promoter_2_gene_id	Promoter_2_Type		
37104	hPromoter	Hela	ADPRHL2	hPromoter		
37104	hPromoter	K562 & Hela	37834	hPromoter		
37316	hPromoter	Hela	HSPD1	hPromoter		
37316	hPromoter	Hela	MOB4	hPromoter		
37316	hPromoter	Hela	HSPE1	hPromoter		
37834	hPromoter	K562 & Hela	37104	hPromoter		
38777	hPromoter	Hela	OLR1	hPromoter		
38777	hPromoter	Hela	CCT5	hPromoter		
39142	hPromoter	K562	BAZ2B	EPromoter(K562)		
39326	hPromoter	Hela	HERPUD2	hPromoter		
39326	hPromoter	K562	SNX24	hPromoter		
40057	EPromoter(K562)	K562 & Hela	40057	EPromoter(K562)		
40057	EPromoter(K562)	Hela	TMEM82	hPromoter		
40057	EPromoter(K562)	Hela	SLC19A2	hPromoter		
40057	EPromoter(K562)	Hela	PAAF1	hPromoter		
40057	EPromoter(K562)	Hela	COA4	hPromoter		
40422	hPromoter	Hela	C9orf43	hPromoter		
40422	hPromoter	Hela	KIF21A	hPromoter		
40422	hPromoter	Hela	MSH5	hPromoter		
41883	hPromoter	Hela	GPR176	hPromoter		
A2ML1	hPromoter	Hela	HACD4	hPromoter		
AAAS	hPromoter	Hela	PCBP2	hPromoter		
AAAS	hPromoter	Hela	ESPL1	hPromoter		
AAAS	hPromoter	Hela	C12orf10	hPromoter		
AAAS	hPromoter	Hela	SP7	hPromoter		
AAMDC	hPromoter	K562 & Hela	INTS4	hPromoter		
AAMP	hPromoter	Hela	ARPC2	EPromoter(Hela)		
AANAT	hPromoter	K562	RHBDF2	hPromoter		
AARS	hPromoter	Hela	DENND4B	hPromoter		
AARS	hPromoter	Hela	DDX19B	hPromoter		
AARS	hPromoter	Hela	COG4	hPromoter		
AARS	hPromoter	Hela	DDX19A	hPromoter		
AARSD1	hPromoter	Hela	LZTS2	hPromoter		
AARSD1	hPromoter	Hela	RUNDC1	hPromoter		
AARSD1	hPromoter	K562	AOC2	hPromoter		
AARSD1	hPromoter	Hela	PTGES3L	hPromoter		
AARSD1	hPromoter	Hela	AARSD1	hPromoter		
