StarrPromSet	GtexTissue	TotalStarrProm	Total_eQTLs	TotalOvlps	Total_eQTL_inOvlp	TotalPromInOvlp	SameGeneMapped	NotSameGene
HELA	Adipose_Subcutaneous	493	985072	1666	921	243	360	1306
K562	Adipose_Subcutaneous	632	985072	1445	818	229	222	1223
CONTROL	Adipose_Subcutaneous	12742	985072	38070	19380	4983	8486	29584
HELA	Adipose_Visceral_Omentum	493	440530	746	461	147	180	566
K562	Adipose_Visceral_Omentum	632	440530	539	360	128	120	419
CONTROL	Adipose_Visceral_Omentum	12742	440530	17199	9739	2717	4068	13131
HELA	Adrenal_Gland	493	291222	442	328	91	102	340
K562	Adrenal_Gland	632	291222	339	262	82	90	249
CONTROL	Adrenal_Gland	12742	291222	10456	6610	1990	2615	7841
HELA	Artery_Aorta	493	655211	1077	703	206	192	885
K562	Artery_Aorta	632	655211	909	633	186	168	741
CONTROL	Artery_Aorta	12742	655211	24707	13342	3690	5864	18843
HELA	Artery_Coronary	493	220593	282	213	67	72	210
K562	Artery_Coronary	632	220593	236	167	61	58	178
CONTROL	Artery_Coronary	12742	220593	8060	4907	1459	2013	6047
HELA	Artery_Tibial	493	953155	1529	926	239	312	1217
K562	Artery_Tibial	632	953155	1218	786	232	246	972
CONTROL	Artery_Tibial	12742	953155	35348	18122	4715	8223	27125
HELA	Brain_Anterior_cingulate_cortex_BA24	493	102265	137	113	43	33	104
K562	Brain_Anterior_cingulate_cortex_BA24	632	102265	83	75	36	12	71
CONTROL	Brain_Anterior_cingulate_cortex_BA24	12742	102265	3338	2172	737	747	2591
HELA	Brain_Caudate_basal_ganglia	493	203031	305	244	79	75	230
K562	Brain_Caudate_basal_ganglia	632	203031	200	174	62	37	163
CONTROL	Brain_Caudate_basal_ganglia	12742	203031	6790	4468	1441	1751	5039
HELA	Brain_Cerebellar_Hemisphere	493	278116	357	268	101	79	278
K562	Brain_Cerebellar_Hemisphere	632	278116	270	210	86	46	224
CONTROL	Brain_Cerebellar_Hemisphere	12742	278116	9783	5953	1868	2454	7329
HELA	Brain_Cerebellum	493	368179	447	346	120	96	351
K562	Brain_Cerebellum	632	368179	442	317	116	85	357
CONTROL	Brain_Cerebellum	12742	368179	13193	8001	2408	3102	10091
HELA	Brain_Cortex	493	205201	279	222	83	60	219
K562	Brain_Cortex	632	205201	181	159	73	54	127
CONTROL	Brain_Cortex	12742	205201	6976	4543	1501	1651	5325
HELA	Brain_Frontal_Cortex_BA9	493	173026	241	185	74	70	171
K562	Brain_Frontal_Cortex_BA9	632	173026	122	111	51	29	93
CONTROL	Brain_Frontal_Cortex_BA9	12742	173026	5800	3679	1200	1300	4500
HELA	Brain_Hippocampus	493	102489	134	107	42	23	111
K562	Brain_Hippocampus	632	102489	93	73	36	19	74
CONTROL	Brain_Hippocampus	12742	102489	3219	2006	642	758	2461
HELA	Brain_Hypothalamus	493	107030	135	108	42	19	116
K562	Brain_Hypothalamus	632	107030	97	90	38	20	77
CONTROL	Brain_Hypothalamus	12742	107030	3693	2259	700	849	2844
HELA	Brain_Nucleus_accumbens_basal_ganglia	493	170900	281	225	76	69	212
K562	Brain_Nucleus_accumbens_basal_ganglia	632	170900	171	142	51	45	126
CONTROL	Brain_Nucleus_accumbens_basal_ganglia	12742	170900	5867	3800	1228	1473	4394
HELA	Brain_Putamen_basal_ganglia	493	134633	151	122	51	29	122
K562	Brain_Putamen_basal_ganglia	632	134633	113	104	40	30	83
CONTROL	Brain_Putamen_basal_ganglia	12742	134633	4202	2694	914	1127	3075
HELA	Breast_Mammary_Tissue	493	431393	669	446	138	156	513
K562	Breast_Mammary_Tissue	632	431393	573	375	116	108	465
CONTROL	Breast_Mammary_Tissue	12742	431393	17007	9384	2608	3813	13194
HELA	Cells_EBV-transformed_lymphocytes	493	268556	438	325	105	175	263
K562	Cells_EBV-transformed_lymphocytes	632	268556	299	235	75	79	220
CONTROL	Cells_EBV-transformed_lymphocytes	12742	268556	10341	6125	1774	2712	7629
HELA	Cells_Transformed_fibroblasts	493	979113	1920	1072	269	481	1439
K562	Cells_Transformed_fibroblasts	632	979113	1638	952	261	374	1264
CONTROL	Cells_Transformed_fibroblasts	12742	979113	34643	19165	5117	8736	25907
HELA	Colon_Sigmoid	493	281164	406	294	87	86	320
K562	Colon_Sigmoid	632	281164	340	247	82	88	252
CONTROL	Colon_Sigmoid	12742	281164	10551	6152	1783	2499	8052
HELA	Colon_Transverse	493	424847	792	495	145	209	583
K562	Colon_Transverse	632	424847	685	439	138	175	510
CONTROL	Colon_Transverse	12742	424847	16309	9544	2722	3809	12500
HELA	Esophagus_Gastroesophageal_Junction	493	273689	396	293	96	75	321
K562	Esophagus_Gastroesophageal_Junction	632	273689	305	218	85	69	236
CONTROL	Esophagus_Gastroesophageal_Junction	12742	273689	10197	6158	1744	2373	7824
HELA	Esophagus_Mucosa	493	845966	1388	791	215	324	1064
K562	Esophagus_Mucosa	632	845966	1286	800	220	270	1016
CONTROL	Esophagus_Mucosa	12742	845966	32777	17060	4507	7455	25322
HELA	Esophagus_Muscularis	493	764709	1239	756	211	239	1000
K562	Esophagus_Muscularis	632	764709	1227	810	224	313	914
CONTROL	Esophagus_Muscularis	12742	764709	29196	15677	4156	6863	22333
HELA	Heart_Atrial_Appendage	493	381022	589	391	130	126	463
K562	Heart_Atrial_Appendage	632	381022	434	303	103	93	341
CONTROL	Heart_Atrial_Appendage	12742	381022	14584	8663	2523	3562	11022
HELA	Heart_Left_Ventricle	493	454146	754	496	159	154	600
K562	Heart_Left_Ventricle	632	454146	592	427	129	146	446
CONTROL	Heart_Left_Ventricle	12742	454146	18105	10221	2887	4372	13733
HELA	Liver	493	136495	214	148	49	50	164
